"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","C:/Users/romai/AppData/Local/R/win-library/4.2","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"acepack","acepack","C:/Users/romai/AppData/Local/R/win-library/4.2","1.4.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"actuar","actuar","C:/Users/romai/AppData/Local/R/win-library/4.2","3.2-2",NA,"R (>= 4.1.0)","stats, graphics, expint","expint","MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"ade4","ade4","C:/Users/romai/AppData/Local/R/win-library/4.2","1.7-19",NA,"R (>= 2.10)","graphics, grDevices, methods, stats, utils, MASS, pixmap, sp",NA,"ade4TkGUI, adegraphics, adephylo, ape, CircStats, deldir,
lattice, spdep, splancs, waveslim, progress, foreach, parallel,
doParallel, iterators",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"ade4TkGUI","ade4TkGUI","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3-1",NA,"ade4 (>= 1.4-3), adegraphics","graphics, grDevices, lattice, stats, tcltk, utils",NA,"pixmap, tkrplot",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"adegenet","adegenet","C:/Users/romai/AppData/Local/R/win-library/4.2","2.1.6",NA,"R (>= 2.14), methods, ade4","utils, stats, grDevices, MASS, igraph, ape, shiny, ggplot2,
seqinr, parallel, boot, reshape2, dplyr (>= 0.4.1), vegan",NA,"adespatial, pegas, hierfstat, akima, maps, spdep, splancs,
tripack, testthat, poppr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"adegraphics","adegraphics","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0-16",NA,"R (>= 3.0.2)","ade4 (>= 1.7-13), graphics, grid, KernSmooth, lattice,
latticeExtra, methods, RColorBrewer, sp (>= 1.1-1), stats",NA,"Guerry, knitr, maptools, pixmap, rmarkdown, markdown, spdep,
splancs",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"adehabitatHR","adehabitatHR","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4.19",NA,"R (>= 3.0.1), sp, methods, deldir, ade4, adehabitatMA,
adehabitatLT","graphics, grDevices, stats",NA,"maptools, tkrplot, MASS, rgeos",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"adehabitatLT","adehabitatLT","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3.25",NA,"R (>= 2.10.0), sp, methods, ade4, adehabitatMA, CircStats,
stats","graphics, grDevices, utils",NA,"maptools, tkrplot, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"adehabitatMA","adehabitatMA","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3.14",NA,"R (>= 2.10.0), sp, methods","utils, graphics, grDevices, stats, filehash",NA,"maptools, tkrplot, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"adephylo","adephylo","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1-11",NA,"methods, ade4 (>= 1.7-10)","phylobase, ape, adegenet",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"admisc","admisc","C:/Users/romai/AppData/Local/R/win-library/4.2","0.27",NA,"R (>= 3.5.0)","methods",NA,"QCA (>= 3.7)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"AER","AER","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2-9",NA,"R (>= 3.0.0), car (>= 2.0-19), lmtest, sandwich (>= 2.4-0),
survival (>= 2.37-5), zoo","stats, Formula (>= 0.2-0)",NA,"boot, dynlm, effects, fGarch, forecast, foreign, ineq,
KernSmooth, lattice, longmemo, MASS, mlogit, nlme, nnet, np,
plm, pscl, quantreg, rgl, ROCR, rugarch, sampleSelection,
scatterplot3d, strucchange, systemfit (>= 1.1-20), truncreg,
tseries, urca, vars",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"afex","afex","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1-1",NA,"R (>= 3.5.0), lme4 (>= 1.1-8)","pbkrtest (>= 0.4-1), lmerTest (>= 3.0-0), car, reshape2,
stats, methods, utils",NA,"emmeans (>= 1.4), coin, xtable, parallel, plyr, optimx,
nloptr, knitr, rmarkdown, R.rsp, lattice, latticeExtra,
multcomp, testthat, mlmRev, dplyr, tidyr, dfoptim, Matrix,
psychTools, ggplot2, MEMSS, effects, carData, ggbeeswarm, nlme,
cowplot, jtools, ggpubr, ggpol, MASS, glmmTMB, brms, rstanarm,
statmod, performance (>= 0.7.2), see (>= 0.6.4), ez,
ggResidpanel",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"akima","akima","C:/Users/romai/AppData/Local/R/win-library/4.2","0.6-3.4",NA,"R (>= 2.0.0)","sp",NA,NA,"tripack","ACM | file LICENSE",NA,"yes",NA,NA,"yes","4.2.0"
"alabama","alabama","C:/Users/romai/AppData/Local/R/win-library/4.2","2022.4-1",NA,"R (>= 2.10.1), numDeriv",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"alr4","alr4","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.6",NA,"R (>= 3.0), car, effects",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"amt","amt","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1.7",NA,"R (>= 3.5),","checkmate, circular, ctmm, dplyr (>= 0.7.0), fitdistrplus,
lubridate, magrittr, methods, purrr, raster, Rdpack, Rcpp (>=
0.12.7), rgeos, rlang, sf, sp, survival, tibble, tidyr (>=
1.0.0)","Rcpp","adehabitatLT, adehabitatMA, broom, ggplot2, ggraph,
geosphere, KernSmooth, FNN, leaflet, moveHMM, move,
sessioninfo, spacetime, trajectories, knitr, rmarkdown,
tinytest, tidygraph, maptools",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"animation","animation","C:/Users/romai/AppData/Local/R/win-library/4.2","2.7",NA,"R (>= 2.14.0)","magick",NA,"MASS, class, testit",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"antiword","antiword","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3.1",NA,NA,"sys (>= 2.0)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"anytime","anytime","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3.9",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.9)","Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"aod","aod","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3.2",NA,"R (>= 2.10), methods, stats",NA,NA,"MASS, boot, lme4",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"ape","ape","C:/Users/romai/AppData/Local/R/win-library/4.2","5.6-2",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)","Rcpp","gee, expm, igraph, phangorn",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"arm","arm","C:/Users/romai/AppData/Local/R/win-library/4.2","1.12-2",NA,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, methods, nlme, utils",NA,NA,NA,"GPL (> 2)",NA,NA,NA,NA,"no","4.2.0"
"arsenal","arsenal","C:/Users/romai/AppData/Local/R/win-library/4.2","3.6.3",NA,"R (>= 3.4.0), stats (>= 3.4.0)","knitr (>= 1.29), utils (>= 3.4.0)",NA,"broom (>= 0.7.1), magrittr, rmarkdown, testthat, xtable,
pander, survival (>= 2.43-1), coin, pROC, MASS, splines, rpart,
yaml, geepack",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"asciicast","asciicast","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.0",NA,NA,"curl, jsonlite, processx (>= 3.4.0), tibble, utils, uuid, V8",NA,"cli, htmlwidgets, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"AsioHeaders","AsioHeaders","C:/Users/romai/AppData/Local/R/win-library/4.2","1.16.1-1",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.2.0"
"askpass","askpass","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"assertthat","assertthat","C:/Users/romai/AppData/Local/R/win-library/4.2","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"ATR","ATR","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1-1",NA,"grid, partykit","stats",NA,"trtf, mlbench",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"AUC","AUC","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3.2",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"audio","audio","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1-10",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"av","av","C:/Users/romai/AppData/Local/R/win-library/4.2","0.7.0",NA,"R (>= 3.5)","graphics",NA,"testthat, ps, ggplot2, gapminder",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"aws.s3","aws.s3","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3.21",NA,NA,"utils, tools, curl, httr, xml2 (> 1.0.0), base64enc, digest,
aws.signature (>= 0.3.7)",NA,"testthat, datasets",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"aws.signature","aws.signature","C:/Users/romai/AppData/Local/R/win-library/4.2","0.6.0",NA,NA,"digest, base64enc",NA,"testthat (>= 2.1.0), aws.ec2metadata (>= 0.1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"backports","backports","C:/Users/romai/AppData/Local/R/win-library/4.2","1.4.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"base64enc","base64enc","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"base64url","base64url","C:/Users/romai/AppData/Local/R/win-library/4.2","1.4",NA,NA,"backports (>= 1.1.0)",NA,"base64enc, checkmate, knitr, microbenchmark, openssl,
rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"basefun","basefun","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1-3",NA,"variables (>= 1.1-0), R (>= 3.2.0)","stats, polynom, Matrix, orthopolynom, methods",NA,"coneproj",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"BayesFactor","BayesFactor","C:/Users/romai/AppData/Local/R/win-library/4.2","0.9.12-4.3",NA,"R (>= 3.2.0), coda, Matrix (>= 1.1-1)","pbapply, mvtnorm, stringr, utils, graphics, gtools,
MatrixModels, Rcpp (>= 0.11.2), methods, hypergeo","Rcpp (>= 0.11.2), RcppEigen (>= 0.3.2.2.0)","doMC, foreach, testthat, knitr, markdown, arm, lme4, xtable,
languageR",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"bayesplot","bayesplot","C:/Users/romai/AppData/Local/R/win-library/4.2","1.9.0",NA,"R (>= 3.1.0)","dplyr (>= 0.8.0), ggplot2 (>= 3.0.0), ggridges, glue,
posterior, reshape2, rlang (>= 0.3.0), stats, tibble (>=
2.0.0), tidyselect, utils",NA,"ggfortify, gridExtra (>= 2.2.1), hexbin, knitr (>= 1.16), loo
(>= 2.0.0), RColorBrewer, rmarkdown (>= 1.0.0), rstan (>=
2.17.1), rstanarm (>= 2.17.4), rstantools (>= 1.5.0), scales,
shinystan (>= 2.3.0), survival, testthat (>= 2.0.0), vdiffr (>=
1.0.2)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
